file,rouge1_f,rouge2_f,rougeL_f,bert_f1,bert_precision,bert_recall
Cohan_et_al_Long_Document_Summarization_chunks4_concise.md,0.2637,0.0855,0.1704,NA,NA,NA
Cohan_et_al_Long_Document_Summarization_chunks4_detailed.md,0.2197,0.0639,0.1274,NA,NA,NA
Cohan_et_al_Long_Document_Summarization_chunks6_concise.md,0.2580,0.0851,0.1413,NA,NA,NA
Cohan_et_al_Long_Document_Summarization_chunks6_detailed.md,0.2104,0.0734,0.1311,NA,NA,NA
Cohan_et_al_Long_Document_Summarization_chunks8_concise.md,0.2131,0.0691,0.1311,NA,NA,NA
Cohan_et_al_Long_Document_Summarization_chunks8_detailed.md,0.1912,0.0629,0.1084,NA,NA,NA
ReferencePaper-AblationStudy_chunks4_concise.md,0.3736,0.1187,0.1617,NA,NA,NA
ReferencePaper-AblationStudy_chunks4_detailed.md,0.3750,0.0994,0.1544,NA,NA,NA
ReferencePaper-AblationStudy_chunks6_concise.md,0.3946,0.0972,0.1646,NA,NA,NA
ReferencePaper-AblationStudy_chunks6_detailed.md,0.3801,0.1206,0.1486,NA,NA,NA
ReferencePaper-AblationStudy_chunks8_concise.md,0.3786,0.1093,0.1564,NA,NA,NA
ReferencePaper-AblationStudy_chunks8_detailed.md,0.3862,0.1020,0.1556,NA,NA,NA
research paper_chunks4_concise.md,0.3704,0.0814,0.1693,NA,NA,NA
research paper_chunks4_detailed.md,0.3565,0.1076,0.1703,NA,NA,NA
research paper_chunks6_concise.md,0.3254,0.0800,0.1627,NA,NA,NA
research paper_chunks6_detailed.md,0.2925,0.0754,0.1560,NA,NA,NA
research paper_chunks8_concise.md,0.3661,0.0693,0.1658,NA,NA,NA
research paper_chunks8_detailed.md,0.2794,0.0752,0.1527,NA,NA,NA
Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper_chunks4_concise.md,0.3963,0.0795,0.1921,NA,NA,NA
Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper_chunks4_detailed.md,0.3478,0.0667,0.1611,NA,NA,NA
Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper_chunks6_concise.md,0.3770,0.0650,0.1591,NA,NA,NA
Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper_chunks6_detailed.md,0.3247,0.0696,0.1411,NA,NA,NA
Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper_chunks8_concise.md,0.3056,0.0399,0.1516,NA,NA,NA
Sachdeva_The_Manga_Whisperer_Automatically_Generating_Transcriptions_for_Comics_CVPR_2024_paper_chunks8_detailed.md,0.3198,0.0659,0.1380,NA,NA,NA
